quality_rank,speed_rank,model_key,model_name,posterior_best_prob,win_rate,wins,losses,ties,correct,judged,correct_rate,mean_ms,p90_ms
1,9,yolo11m,YOLO11 m,0.319600,1.000000,7.000,0.000,17,22,24,0.916667,627.714,1165.588
2,17,rtdetrv2-l,RT-DETRv2 L,0.205700,1.000000,4.000,0.000,15,17,19,0.894737,1630.745,2619.975
3,20,rfdetr-2xlarge,RF-DETR 2x-large,0.202150,1.000000,4.000,0.000,11,15,15,1.000000,1847.926,3084.987
4,3,yolov10n,YOLOv10 n,0.081500,1.000000,1.000,0.000,16,14,17,0.823529,273.291,523.225
5,11,yolo26m,YOLO26 m,0.059300,0.857143,6.000,1.000,11,16,18,0.888889,882.534,1434.937
6,12,yolov10l,YOLOv10 l,0.045450,0.833333,5.000,1.000,13,17,19,0.894737,1116.177,1609.151
7,21,rtdetrv3-r18,RT-DETRv3 R18,0.024150,0.750000,3.000,1.000,11,13,15,0.866667,1860.261,2607.206
8,14,yolov10m,YOLOv10 m,0.021400,0.750000,3.000,1.000,13,16,17,0.941176,1180.558,2127.842
9,22,rtdetrv3-r50,RT-DETRv3 R50,0.014600,0.666667,2.000,1.000,6,8,9,0.888889,2198.047,3127.600
10,15,yolo11l,YOLO11 l,0.007550,0.500000,1.000,1.000,14,14,16,0.875000,1306.122,2911.728
11,6,yolo11s,YOLO11 s,0.004300,0.600000,3.000,2.000,11,14,16,0.875000,412.680,627.090
12,19,yolo26x,YOLO26 x,0.003900,0.600000,3.000,2.000,20,20,25,0.800000,1806.421,2993.382
13,18,yolov10x,YOLOv10 x,0.003600,0.600000,3.000,2.000,18,20,23,0.869565,1740.030,3352.101
14,16,rtdetr-l,RT-DETR HGNetv2-L,0.002650,0.000000,0.000,1.000,11,10,12,0.833333,1555.141,2146.159
15,4,rfdetr-nano,RF-DETR nano,0.002250,0.500000,2.000,2.000,10,11,14,0.785714,338.968,679.452
16,2,yolo26n,YOLO26 n,0.000700,0.500000,3.000,3.000,6,9,12,0.750000,255.464,480.492
17,5,rfdetr-small,RF-DETR small,0.000400,0.555556,5.000,4.000,9,14,18,0.777778,379.479,640.034
18,23,yolo11x,YOLO11 x,0.000250,0.000000,0.000,2.000,6,5,8,0.625000,2457.701,4290.447
19,13,yolo26l,YOLO26 l,0.000200,0.000000,0.000,2.000,8,8,10,0.800000,1176.375,1702.364
20,8,yolov10s,YOLOv10 s,0.000150,0.250000,1.000,3.000,10,11,14,0.785714,529.354,978.941
21,1,yolo11n,YOLO11 n,0.000100,0.428571,3.000,4.000,8,10,15,0.666667,218.889,369.631
22,25,rtdetrv2-x,RT-DETRv2 X,0.000050,0.333333,2.000,4.000,11,9,17,0.529412,3369.603,6351.394
23,10,rfdetr-medium,RF-DETR medium,0.000050,0.000000,0.000,3.000,15,12,18,0.666667,804.567,1767.404
24,7,yolo26s,YOLO26 s,0.000000,0.333333,3.000,6.000,10,13,19,0.684211,439.874,663.950
25,24,rtdetrv3-r101,RT-DETRv3 R101,0.000000,0.125000,1.000,7.000,6,6,14,0.428571,2955.341,4748.337
26,26,rtdetr-x,RT-DETR HGNetv2-X,0.000000,0.000000,0.000,4.000,5,3,9,0.333333,4551.693,6366.618
27,27,dino15-proxy,DINO 1.5 Pro proxy,0.000000,0.000000,0.000,8.000,1,0,9,0.000000,0.000,0.000
