screen_index,image_name,choice,left_model_key,left_model_name,left_is_correct,left_inference_ms,right_model_key,right_model_name,right_is_correct,right_inference_ms,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after
1,642846345.jpeg,both_correct,rfdetr-nano,RF-DETR nano,1,281.983,rtdetr-l,RT-DETR HGNetv2-L,1,2366.957,,,,yolov10x,0.040100
2,642028055.jpeg,left,yolov10x,YOLOv10 x,1,2243.492,yolo26n,YOLO26 n,0,209.830,yes,yolov10x,yolo11x,yolov10x,0.075300
3,645077088.jpeg,both_correct,dino15-proxy,DINO 1.5 Pro proxy,1,2999.571,yolov10n,YOLOv10 n,1,156.263,,,,yolov10x,0.073650
4,644583257.jpg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,1530.546,yolo26s,YOLO26 s,1,310.489,,,,yolov10x,0.075000
5,644260794.jpeg,both_correct,yolov10m,YOLOv10 m,1,635.824,yolo26x,YOLO26 x,1,1817.584,,,,yolov10x,0.076550
6,643129675.jpg,right,yolo11m,YOLO11 m,0,951.482,yolov10m,YOLOv10 m,1,753.485,yes,rfdetr-2xlarge,yolov10m,yolov10x,0.072700
7,642028055.jpeg,both_correct,yolov10x,YOLOv10 x,1,2098.788,yolo11x,YOLO11 x,1,2795.232,,,,yolov10m,0.075250
8,642737675.jpeg,both_correct,yolo11n,YOLO11 n,1,202.468,yolov10l,YOLOv10 l,1,1189.653,,,,yolov10m,0.074300
9,649249350.jpg,left,rtdetrv2-l,RT-DETRv2 L,1,1758.591,rtdetrv3-r101,RT-DETRv3 R101,0,3089.429,yes,rfdetr-medium,rtdetrv2-l,yolov10x,0.074650
10,642615685.jpg,left,yolov10s,YOLOv10 s,1,304.165,rtdetrv2-l,RT-DETRv2 L,0,1545.416,yes,yolov10s,yolo26s,yolov10m,0.077450
11,643129675.jpg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,1880.529,yolov10m,YOLOv10 m,1,738.678,,,,yolov10s,0.078850
12,647576418.jpg,both_correct,yolov10n,YOLOv10 n,1,214.316,dino15-proxy,DINO 1.5 Pro proxy,1,2991.019,,,,yolov10s,0.076750
13,642065044.jpeg,both_wrong,dino15-proxy,DINO 1.5 Pro proxy,0,2945.987,yolov10x,YOLOv10 x,0,940.703,,,,yolov10s,0.075900
14,649249350.jpg,both_correct,rfdetr-medium,RF-DETR medium,1,790.704,rtdetrv2-l,RT-DETRv2 L,1,1627.613,,,,yolov10m,0.076750
15,642615685.jpg,both_correct,yolov10s,YOLOv10 s,1,251.313,yolo26s,YOLO26 s,1,275.799,,,,yolov10x,0.078650
16,642044587.jpg,both_correct,yolo11s,YOLO11 s,1,337.378,yolo11l,YOLO11 l,1,1091.145,,,,yolov10s,0.077600
17,642663919.jpg,both_correct,yolo11s,YOLO11 s,1,532.716,rtdetrv2-l,RT-DETRv2 L,1,2037.220,,,,yolov10m,0.077250
18,644221979.jpg,both_correct,yolo26s,YOLO26 s,1,303.650,rtdetrv3-r50,RT-DETRv3 R50,1,1839.932,,,,yolov10s,0.076650
19,644394929.jpg,both_correct,yolo11x,YOLO11 x,1,1529.821,yolo11s,YOLO11 s,1,346.844,,,,yolov10x,0.077850
20,648737539.jpg,both_correct,yolo26n,YOLO26 n,1,173.889,yolo26m,YOLO26 m,1,641.886,,,,yolov10x,0.077300
21,642036862.jpg,both_correct,yolo11l,YOLO11 l,1,1118.807,rtdetrv3-r50,RT-DETRv3 R50,1,1790.549,,,,yolov10x,0.075550
22,649453267.jpeg,both_correct,rtdetrv3-r101,RT-DETRv3 R101,1,2838.284,yolo26l,YOLO26 l,1,1065.665,,,,yolov10s,0.076100
23,643973850.jpg,right,rfdetr-2xlarge,RF-DETR 2x-large,0,1643.196,yolo26x,YOLO26 x,1,1688.420,yes,yolo26x,yolov10n,yolov10s,0.077650
24,649244949.jpeg,both_correct,yolov10n,YOLOv10 n,1,117.976,rtdetr-l,RT-DETR HGNetv2-L,1,1587.985,,,,yolov10x,0.079250
25,647562205.jpg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,1660.204,yolo26s,YOLO26 s,1,424.123,,,,yolov10s,0.076800
26,644240784.jpg,both_wrong,rtdetrv3-r18,RT-DETRv3 R18,0,1984.723,yolo11m,YOLO11 m,0,526.957,,,,yolo26x,0.078400
27,647911606.jpg,left,rfdetr-medium,RF-DETR medium,1,722.773,yolo26s,YOLO26 s,0,293.720,yes,yolov10n,rfdetr-medium,yolo26x,0.077800
28,643973850.jpg,both_correct,yolo26x,YOLO26 x,1,1570.305,yolov10n,YOLOv10 n,1,160.815,,,,yolov10m,0.078650
