model_key,model_name,count,mean_ms,p50_ms,p90_ms,min_ms,max_ms
dino15-proxy,DINO 1.5 Pro proxy,3,2978.859,2991.019,2997.860,2945.987,2999.571
rfdetr-2xlarge,RF-DETR 2x-large,3,1684.757,1643.196,1833.062,1530.546,1880.529
rfdetr-medium,RF-DETR medium,2,756.738,756.738,783.911,722.773,790.704
rfdetr-nano,RF-DETR nano,1,281.983,281.983,281.983,281.983,281.983
rfdetr-small,RF-DETR small,0,0.000,0.000,0.000,0.000,0.000
rtdetr-l,RT-DETR HGNetv2-L,2,1977.471,1977.471,2289.060,1587.985,2366.957
rtdetr-x,RT-DETR HGNetv2-X,0,0.000,0.000,0.000,0.000,0.000
rtdetrv2-l,RT-DETRv2 L,6,1729.667,1704.580,1897.906,1545.416,2037.220
rtdetrv2-x,RT-DETRv2 X,0,0.000,0.000,0.000,0.000,0.000
rtdetrv3-r101,RT-DETRv3 R101,2,2963.856,2963.856,3064.314,2838.284,3089.429
rtdetrv3-r18,RT-DETRv3 R18,1,1984.723,1984.723,1984.723,1984.723,1984.723
rtdetrv3-r50,RT-DETRv3 R50,2,1815.240,1815.240,1834.993,1790.549,1839.932
yolo11l,YOLO11 l,3,1052.037,1091.145,1113.274,946.158,1118.807
yolo11m,YOLO11 m,2,739.219,739.219,909.029,526.957,951.482
yolo11n,YOLO11 n,1,202.468,202.468,202.468,202.468,202.468
yolo11s,YOLO11 s,3,405.646,346.844,495.542,337.378,532.716
yolo11x,YOLO11 x,2,2162.527,2162.527,2668.691,1529.821,2795.232
yolo26l,YOLO26 l,1,1065.665,1065.665,1065.665,1065.665,1065.665
yolo26m,YOLO26 m,1,641.886,641.886,641.886,641.886,641.886
yolo26n,YOLO26 n,2,191.859,191.859,206.236,173.889,209.830
yolo26s,YOLO26 s,5,321.556,303.650,378.669,275.799,424.123
yolo26x,YOLO26 x,3,1692.103,1688.420,1791.751,1570.305,1817.584
yolov10l,YOLOv10 l,1,1189.653,1189.653,1189.653,1189.653,1189.653
yolov10m,YOLOv10 m,3,709.329,738.678,750.524,635.824,753.485
yolov10n,YOLOv10 n,4,162.342,158.539,198.266,117.976,214.316
yolov10s,YOLOv10 s,2,277.739,277.739,298.879,251.313,304.165
yolov10x,YOLOv10 x,3,1760.994,2098.788,2214.551,940.703,2243.492
