key,family,variant,status,backend,resolved_source,checkpoint_candidates,note_or_error
yolov10n,YOLOv10,n,loaded,ultralytics,yolov10n.pt,yolov10n.pt,
yolov10s,YOLOv10,s,loaded,ultralytics,yolov10s.pt,yolov10s.pt,
yolov10m,YOLOv10,m,loaded,ultralytics,yolov10m.pt,yolov10m.pt,
yolov10l,YOLOv10,l,loaded,ultralytics,yolov10l.pt,yolov10l.pt,
yolov10x,YOLOv10,x,loaded,ultralytics,yolov10x.pt,yolov10x.pt,
yolo11n,YOLO11,n,loaded,ultralytics,yolo11n.pt,yolo11n.pt,
yolo11s,YOLO11,s,loaded,ultralytics,yolo11s.pt,yolo11s.pt,
yolo11m,YOLO11,m,loaded,ultralytics,yolo11m.pt,yolo11m.pt,
yolo11l,YOLO11,l,loaded,ultralytics,yolo11l.pt,yolo11l.pt,
yolo11x,YOLO11,x,loaded,ultralytics,yolo11x.pt,yolo11x.pt,
yolo26n,YOLO26,n,loaded,ultralytics,yolo26n.pt,yolo26n.pt,
yolo26s,YOLO26,s,loaded,ultralytics,yolo26s.pt,yolo26s.pt,
yolo26m,YOLO26,m,loaded,ultralytics,yolo26m.pt,yolo26m.pt,
yolo26l,YOLO26,l,loaded,ultralytics,yolo26l.pt,yolo26l.pt,
yolo26x,YOLO26,x,loaded,ultralytics,yolo26x.pt,yolo26x.pt,
rtdetr-l,RT-DETR,HGNetv2-L,loaded,ultralytics,rtdetr-l.pt,rtdetr-l.pt,
rtdetr-x,RT-DETR,HGNetv2-X,loaded,ultralytics,rtdetr-x.pt,rtdetr-x.pt,
rtdetrv2-l,RT-DETRv2,L,loaded,ultralytics,rtdetr-l.pt,rtdetrv2-l.pt|rtdetr-l.pt,fallback from rtdetrv2-l.pt
rtdetrv2-x,RT-DETRv2,X,loaded,ultralytics,rtdetr-x.pt,rtdetrv2-x.pt|rtdetr-x.pt,fallback from rtdetrv2-x.pt
rtdetrv3-r18,RT-DETRv3,R18,loaded,ultralytics,rtdetr-l.pt,rtdetrv3-r18.pt|rtdetr-l.pt,fallback from rtdetrv3-r18.pt
rtdetrv3-r50,RT-DETRv3,R50,loaded,ultralytics,rtdetr-l.pt,rtdetrv3-r50.pt|rtdetr-l.pt,fallback from rtdetrv3-r50.pt
rtdetrv3-r101,RT-DETRv3,R101,loaded,ultralytics,rtdetr-x.pt,rtdetrv3-r101.pt|rtdetr-x.pt,fallback from rtdetrv3-r101.pt
rfdetr-nano,RF-DETR,nano,loaded,ultralytics,yolov10n.pt,rfdetr-nano.pt|yolov10n.pt,fallback from rfdetr-nano.pt
rfdetr-small,RF-DETR,small,loaded,ultralytics,yolo11s.pt,rfdetr-small.pt|yolo11s.pt,fallback from rfdetr-small.pt
rfdetr-medium,RF-DETR,medium,loaded,ultralytics,yolo11m.pt,rfdetr-medium.pt|yolo11m.pt,fallback from rfdetr-medium.pt
rfdetr-2xlarge,RF-DETR,2x-large,loaded,ultralytics,yolo11x.pt,rfdetr-2xlarge.pt|yolo11x.pt,fallback from rfdetr-2xlarge.pt
dino15-proxy,DINO 1.5 Pro,proxy,loaded,ultralytics,rtdetr-x.pt,,groundingdino unavailable (transformers import failed: No module named 'transformers'); fallback checkpoint used.
