rank,model_key,model_name,wins,losses,ties,votes,win_rate,correct,judged,correct_rate,posterior_best_prob
1,yolov10m,YOLOv10 m,1.000,0.000,2,1.000,1.000000,3,3,1.000000,0.078150
2,yolov10x,YOLOv10 x,1.000,0.000,2,1.000,1.000000,2,3,0.666667,0.077750
3,rfdetr-medium,RF-DETR medium,1.000,0.000,1,1.000,1.000000,2,2,1.000000,0.074900
4,yolo26x,YOLO26 x,1.000,0.000,2,1.000,1.000000,3,3,1.000000,0.074150
5,yolov10s,YOLOv10 s,1.000,0.000,1,1.000,1.000000,2,2,1.000000,0.073750
6,rfdetr-nano,RF-DETR nano,0.000,0.000,1,0.000,0.000000,1,1,1.000000,0.039600
7,rtdetrv2-x,RT-DETRv2 X,0.000,0.000,0,0.000,0.000000,0,0,0.000000,0.039000
8,rtdetrv3-r50,RT-DETRv3 R50,0.000,0.000,2,0.000,0.000000,2,2,1.000000,0.038850
9,dino15-proxy,DINO 1.5 Pro proxy,0.000,0.000,3,0.000,0.000000,2,3,0.666667,0.038800
10,yolov10l,YOLOv10 l,0.000,0.000,1,0.000,0.000000,1,1,1.000000,0.038450
11,yolo11n,YOLO11 n,0.000,0.000,1,0.000,0.000000,1,1,1.000000,0.038400
12,yolo11x,YOLO11 x,0.000,0.000,2,0.000,0.000000,2,2,1.000000,0.038200
13,yolo26l,YOLO26 l,0.000,0.000,1,0.000,0.000000,1,1,1.000000,0.038200
14,rfdetr-small,RF-DETR small,0.000,0.000,0,0.000,0.000000,0,0,0.000000,0.037950
15,yolo26m,YOLO26 m,0.000,0.000,1,0.000,0.000000,1,1,1.000000,0.037300
16,yolo11s,YOLO11 s,0.000,0.000,3,0.000,0.000000,3,3,1.000000,0.036800
17,yolov10n,YOLOv10 n,0.000,0.000,4,0.000,0.000000,4,4,1.000000,0.036750
18,rtdetr-x,RT-DETR HGNetv2-X,0.000,0.000,0,0.000,0.000000,0,0,0.000000,0.036650
19,rtdetr-l,RT-DETR HGNetv2-L,0.000,0.000,2,0.000,0.000000,2,2,1.000000,0.036450
20,yolo11l,YOLO11 l,0.000,0.000,2,0.000,0.000000,2,2,1.000000,0.035700
21,rtdetrv3-r18,RT-DETRv3 R18,0.000,0.000,1,0.000,0.000000,0,1,0.000000,0.035400
22,rtdetrv2-l,RT-DETRv2 L,1.000,1.000,3,2.000,0.500000,4,5,0.800000,0.007250
23,yolo26n,YOLO26 n,0.000,1.000,1,1.000,0.000000,1,2,0.500000,0.002550
24,rfdetr-2xlarge,RF-DETR 2x-large,0.000,1.000,2,1.000,0.000000,2,3,0.666667,0.002550
25,yolo26s,YOLO26 s,0.000,1.000,4,1.000,0.000000,4,5,0.800000,0.002500
26,rtdetrv3-r101,RT-DETRv3 R101,0.000,1.000,1,1.000,0.000000,1,2,0.500000,0.002150
27,yolo11m,YOLO11 m,0.000,1.000,1,1.000,0.000000,0,2,0.000000,0.001800
